Destinations,Region,Continent,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Burundi,East Africa,AFRICA,0,0,0,0,0,1,0,1,0,0,0,2,9,0,1,2,0,11,0,0
Djibouti,East Africa,AFRICA,0,0,0,0,0,0,0,0,0,0,23,1,4,1,1,0,0,0,0,0
Eritrea,East Africa,AFRICA,0,18,0,12,1,14,8,1,0,1,3,0,1,0,1,0,1,1,0,5
Ethiopia,East Africa,AFRICA,0,12,30,26,26,33,56,84,115,133,191,147,267,231,235,261,302,73,207,249
Kenya,East Africa,AFRICA,695,846,720,625,387,661,694,686,657,881,1198,1291,1231,1238,1022,634,681,778,927,926
Rwanda,East Africa,AFRICA,1,0,1,6,10,14,44,59,61,203,126,196,308,366,332,275,411,380,377,460
Seychelles,East Africa,AFRICA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
Somalia,East Africa,AFRICA,0,0,0,0,1,1,1,1,0,1,1,2,1,0,1,0,0,0,10,0
South Sudan,East Africa,AFRICA,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,3,12,23,0,1
Sudan,East Africa,AFRICA,0,0,0,0,0,1,43,4,2,1,1,5,6,3,0,1,1,0,16,0
Tanzania,East Africa,AFRICA,253,295,293,347,373,467,557,630,783,863,962,1126,1115,1238,1294,1216,1254,1364,1556,1334
Uganda,East Africa,AFRICA,44,28,76,85,141,159,327,357,457,611,571,673,716,692,685,527,722,845,837,797
Cameroon,Central Africa,AFRICA,53,95,51,66,74,75,66,142,108,134,70,106,135,103,175,92,53,99,57,34
Central African Republic,Central Africa,AFRICA,0,13,0,0,0,7,0,2,9,0,2,8,2,0,0,0,0,0,0,1
Chad,Central Africa,AFRICA,1,0,0,0,0,0,0,4,0,0,1,1,0,5,0,0,1,0,2,0
"Congo, Republic of the (Brazzaville)",Central Africa,AFRICA,1,0,2,1,0,0,0,1,3,1,1,4,4,4,3,3,2,3,5,13
"Congo, Dem. Rep. of the (Kinshasa)",Central Africa,AFRICA,0,0,0,0,1,0,3,3,0,1,4,3,6,7,16,15,7,8,6,4
Equatorial Guinea,Central Africa,AFRICA,0,8,2,7,2,5,11,16,14,21,18,13,16,11,12,17,22,7,7,11
Gabon,Central Africa,AFRICA,1,2,1,3,1,0,5,1,8,2,0,16,23,4,45,20,14,5,4,2
São Tomé & Príncipe,Central Africa,AFRICA,0,0,0,0,0,0,0,10,1,8,7,19,6,4,0,5,0,0,0,1
Angola,Southern Africa,AFRICA,0,0,1,0,1,0,1,1,0,1,1,7,2,14,0,1,0,2,0,1
Botswana,Southern Africa,AFRICA,14,44,36,42,80,102,130,194,164,183,215,283,281,326,268,279,266,275,252,300
Comoros,Southern Africa,AFRICA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Eswatini,Southern Africa,AFRICA,8,31,4,21,5,26,23,76,44,81,51,26,156,44,70,89,122,92,118,72
Lesotho,Southern Africa,AFRICA,0,0,19,34,28,11,54,14,64,89,27,27,3,34,26,14,6,23,1,4
Madagascar,Southern Africa,AFRICA,48,51,84,15,62,73,120,89,131,70,100,104,165,145,138,114,175,145,159,168
Malawi,Southern Africa,AFRICA,3,30,9,9,12,12,64,120,115,139,126,166,162,201,223,195,217,215,263,268
Mauritius,Southern Africa,AFRICA,0,4,1,1,2,1,122,9,10,1,4,1,0,0,4,4,4,3,22,54
Mozambique,Southern Africa,AFRICA,12,66,20,29,42,27,19,14,16,25,11,20,42,47,44,32,45,30,48,30
Namibia,Southern Africa,AFRICA,48,38,38,120,97,188,181,146,204,220,226,155,234,182,167,227,245,207,237,270
Reunion,Southern Africa,AFRICA,1,4,1,0,3,2,1,0,2,8,1,0,2,1,1,0,3,0,3,3
South Africa,Southern Africa,AFRICA,899,1107,1456,1594,2009,2304,2512,3216,3700,4160,4313,4337,4540,5337,4968,5249,5782,6042,6001,5278
Zambia,Southern Africa,AFRICA,0,11,15,24,50,86,112,133,103,185,233,265,284,366,291,299,262,306,372,326
Zimbabwe,Southern Africa,AFRICA,250,186,40,29,9,7,9,26,9,27,9,15,12,29,47,38,58,37,35,25
Benin,West Africa,AFRICA,20,21,22,14,15,11,26,43,68,36,59,22,15,34,46,15,42,22,64,55
Burkina Faso,West Africa,AFRICA,22,10,33,7,28,40,19,34,49,71,28,27,57,24,31,8,5,7,6,5
Cabo Verde/Cape Verde,West Africa,AFRICA,0,0,0,0,0,0,14,1,0,3,14,26,13,59,2,18,9,11,9,5
