Place of Origin,Int'l Students,% of Total,Year
China,59939.00,10.9,2000/01
India,54664.00,10.0,2000/01
Japan,46497.00,8.5,2000/01
South Korea,45685.00,8.3,2000/01
Taiwan,28566.00,5.2,2000/01
Canada,25279.00,4.6,2000/01
Indonesia,11625.00,2.1,2000/01
Thailand,11187.00,2.0,2000/01
Turkey,10983.00,2.0,2000/01
Mexico,10670.00,1.9,2000/01
Germany,10128.00,1.8,2000/01
Brazil,8846.00,1.6,2000/01
United Kingdom,8139.00,1.5,2000/01
Malaysia,7795.00,1.4,2000/01
Hong Kong,7627.00,1.4,2000/01
France,7273.00,1.3,2000/01
Pakistan,6948.00,1.3,2000/01
Russia,6858.00,1.3,2000/01
Colombia,6765.00,1.2,2000/01
Kenya,6229.00,1.1,2000/01
Saudi Arabia,5273.00,1.0,2000/01
Venezuela,5217.00,1.0,2000/01
Sweden,4598.00,0.8,2000/01
Jamaica,4225.00,0.8,2000/01
Singapore,4166.00,0.8,2000/01
India,66836.00,11.5,2001/02
China,63211.00,10.8,2001/02
South Korea,49046.00,8.4,2001/02
Japan,46810.00,8.0,2001/02
Taiwan,28930.00,5.0,2001/02
Canada,26514.00,4.5,2001/02
Mexico,12518.00,2.1,2001/02
Turkey,12091.00,2.1,2001/02
Indonesia,11614.00,2.0,2001/02
Thailand,11606.00,2.0,2001/02
Germany,9613.00,1.6,2001/02
Brazil,8972.00,1.5,2001/02
Pakistan,8644.00,1.5,2001/02
United Kingdom,8414.00,1.4,2001/02
Colombia,8068.00,1.4,2001/02
Colombia,8068.00,1.4,2001/02
Hong Kong,7757.00,1.3,2001/02
France,7401.00,1.3,2001/02
Malaysia,7395.00,1.3,2001/02
Kenya,7097.00,1.2,2001/02
Russia,6643.00,1.1,2001/02
Venezuela,5627.00,1.0,2001/02
Saudi Arabia,5579.00,1.0,2001/02
Nigeria,4499.00,0.8,2001/02
Jamaica,4286.00,0.7,2001/02
India,74603.00,12.7,2002/03
China,64757.00,11.0,2002/03
South Korea,51519.00,8.8,2002/03
Japan,45960.00,7.8,2002/03
Taiwan,28017.00,4.8,2002/03
Canada,26513.00,4.5,2002/03
Mexico,12801.00,2.2,2002/03
Turkey,11601.00,2.0,2002/03
Indonesia,10432.00,1.8,2002/03
Thailand,9982.00,1.7,2002/03
Germany,9302.00,1.6,2002/03
Brazil,8388.00,1.4,2002/03
United Kingdom,8326.00,1.4,2002/03
Pakistan,8123.00,1.4,2002/03
Hong Kong,8076.00,1.4,2002/03
Kenya,7862.00,1.3,2002/03
Colombia,7771.00,1.3,2002/03
France,7223.00,1.2,2002/03
Malaysia,6595.00,1.1,2002/03
Russia,6238.00,1.1,2002/03
Nigeria,5816.00,1.0,2002/03
Venezuela,5333.00,0.9,2002/03
Jamaica,4723.00,0.8,2002/03
Singapore,4189.00,0.7,2002/03
Saudi Arabia,4175.00,0.7,2002/03
India,79736.00,13.9,2003/04
China,61765.00,10.8,2003/04
South Korea,52484.00,9.2,2003/04
Japan,40835.00,7.1,2003/04
Canada,27017.00,4.7,2003/04
Taiwan,26178.00,4.6,2003/04
Mexico,13329.00,2.3,2003/04
Turkey,11398.00,2.0,2003/04
Thailand,8937.00,1.6,2003/04
Indonesia,8880.00,1.6,2003/04
Germany,8745.00,1.5,2003/04
United Kingdom,8439.00,1.5,2003/04
Brazil,7799.00,1.4,2003/04
Colombia,7533.00,1.3,2003/04
Kenya,7381.00,1.3,2003/04
Hong Kong,7353.00,1.3,2003/04
Pakistan,7325.00,1.3,2003/04
France,6818.00,1.2,2003/04
Malaysia,6483.00,1.1,2003/04
Nigeria,6140.00,1.1,2003/04
Venezuela,5575.00,1.0,2003/04
Russia,5532.00,1.0,2003/04
Jamaica,4994.00,0.9,2003/04
Nepal,4384.00,0.8,2003/04
Singapore,3955.00,0.7,2003/04
India,80466.00,14.2,2004/05
China,62523.00,11.1,2004/05
South Korea,53358.00,9.4,2004/05
Japan,42215.00,7.5,2004/05
Canada,28140.00,5.0,2004/05
Taiwan,25914.00,4.6,2004/05
Mexico,13063.00,2.3,2004/05
Turkey,12474.00,2.2,2004/05
Germany,8640.00,1.5,2004/05
Thailand,8637.00,1.5,2004/05
United Kingdom,8236.00,1.5,2004/05
Indonesia,7760.00,1.4,2004/05
Colombia,7334.00,1.3,2004/05
Brazil,7244.00,1.3,2004/05
Hong Kong,7180.00,1.3,2004/05
Kenya,6728.00,1.2,2004/05
France,6555.00,1.2,2004/05
Nigeria,6335.00,1.1,2004/05
Pakistan,6296.00,1.1,2004/05
Malaysia,6142.00,1.1,2004/05
Venezuela,5279.00,0.9,2004/05
Russia,5073.00,0.9,2004/05
Nepal,4861.00,0.9,2004/05
Jamaica,4368.00,0.8,2004/05
Singapore,3769.00,0.7,2004/05
India,76503.00,13.5,2005/06
China,62582.00,11.1,2005/06
South Korea,59022.00,10.5,2005/06
Japan,38712.00,6.9,2005/06
Canada,28202.00,5.0,2005/06
Taiwan,27876.00,4.9,2005/06
Mexico,13931.00,2.5,2005/06
Turkey,11622.00,2.1,2005/06
Germany,8829.00,1.6,2005/06
Thailand,8765.00,1.6,2005/06
United Kingdom,8274.00,1.5,2005/06
Hong Kong,7849.00,1.4,2005/06
Indonesia,7575.00,1.3,2005/06
Brazil,7009.00,1.2,2005/06
Colombia,6835.00,1.2,2005/06
France,6640.00,1.2,2005/06
Kenya,6559.00,1.2,2005/06
Nigeria,6192.00,1.1,2005/06
Nepal,6061.00,1.1,2005/06
Pakistan,5759.00,1.0,2005/06
Malaysia,5515.00,1.0,2005/06
Russia,4801.00,0.9,2005/06
Venezuela,4792.00,0.8,2005/06
Vietnam,4597.00,0.8,2005/06
Jamaica,4166.00,0.7,2005/06
India,83833.00,14.4,2006/07
"China, PRC",67723.00,11.6,2006/07
South Korea,62392.00,10.7,2006/07
Japan,35282.00,6.1,2006/07
Taiwan,29094.00,5.0,2006/07
Canada,28280.00,4.9,2006/07
Mexico,13826.00,2.4,2006/07
Turkey,11506.00,2.0,2006/07
Thailand,8886.00,1.5,2006/07
Germany,8656.00,1.5,2006/07
United Kingdom,8438.00,1.4,2006/07
Saudi Arabia,7886.00,1.4,2006/07
Nepal,7754.00,1.3,2006/07
"Hong Kong, China",7722.00,1.3,2006/07
Indonesia,7338.00,1.3,2006/07
Brazil,7126.00,1.2,2006/07
Colombia,6750.00,1.2,2006/07
France,6704.00,1.1,2006/07
Kenya,6349.00,1.1,2006/07
Vietnam,6036.00,1.0,2006/07
Nigeria,5943.00,1.0,2006/07
Pakistan,5401.00,0.9,2006/07
Malaysia,5281.00,0.9,2006/07
Russia,4751.00,0.8,2006/07
Venezuela,4523.00,0.8,2006/07
India,94563.00,15.2,2007/08
China,81127.00,13.0,2007/08
South Korea,69124.00,11.1,2007/08
Japan,33974.00,5.4,2007/08
Canada,29051.00,4.7,2007/08
Taiwan,29001.00,4.6,2007/08
Mexico,14837.00,2.4,2007/08
Turkey,12030.00,1.9,2007/08
Saudi Arabia,9873.00,1.6,2007/08
Thailand,9004.00,1.4,2007/08
Nepal,8936.00,1.4,2007/08
Germany,8907.00,1.4,2007/08
Vietnam,8769.00,1.4,2007/08
United Kingdom,8367.00,1.3,2007/08
Hong Kong,8286.00,1.3,2007/08
Indonesia,7692.00,1.2,2007/08
Brazil,7578.00,1.2,2007/08
France,7050.00,1.1,2007/08
Colombia,6662.00,1.1,2007/08
Nigeria,6222.00,1.0,2007/08
Kenya,5838.00,0.9,2007/08
Malaysia,5428.00,0.9,2007/08
Pakistan,5345.00,0.9,2007/08
Russia,4906.00,0.8,2007/08
Venezuela,4446.00,0.7,2007/08
India,103260.00,15.4,2008/09
China,98235.00,14.6,2008/09
South Korea,75065.00,11.2,2008/09
Canada,29697.00,4.4,2008/09
Japan,29264.00,4.4,2008/09
Taiwan,28065.00,4.2,2008/09
Mexico,14850.00,2.2,2008/09
Vietnam,12823.00,1.9,2008/09
Saudi Arabia,12661.00,1.9,2008/09
Turkey,12148.00,1.8,2008/09
Nepal,11581.00,1.7,2008/09
Germany,9679.00,1.4,2008/09
Brazil,8767.00,1.3,2008/09
Thailand,8736.00,1.3,2008/09
United Kingdom,8701.00,1.3,2008/09
Hong Kong,8329.00,1.2,2008/09
Indonesia,7509.00,1.1,2008/09
France,7421.00,1.1,2008/09
Colombia,7013.00,1.0,2008/09
Nigeria,6256.00,0.9,2008/09
Malaysia,5942.00,0.9,2008/09
Kenya,5877.00,0.9,2008/09
Pakistan,5298.00,0.8,2008/09
Russia,4908.00,0.7,2008/09
Venezuela,4678.00,0.7,2008/09
China,127628.00,18.5,2009/10
India,104897.00,15.2,2009/10
South Korea,72153.00,10.4,2009/10
Canada,28145.00,4.1,2009/10
Taiwan,26685.00,3.9,2009/10
Japan,24842.00,3.6,2009/10
Saudi Arabia,15810.00,2.3,2009/10
Mexico,13450.00,1.9,2009/10
Vietnam,13112.00,1.9,2009/10
Turkey,12397.00,1.8,2009/10
Nepal,11233.00,1.6,2009/10
Germany,9548.00,1.4,2009/10
United Kingdom,8861.00,1.3,2009/10
Brazil,8786.00,1.3,2009/10
Thailand,8531.00,1.2,2009/10
Hong Kong,8034.00,1.2,2009/10
France,7716.00,1.1,2009/10
Indonesia,6943.00,1.0,2009/10
Colombia,6920.00,1.0,2009/10
Nigeria,6568.00,1.0,2009/10
Malaysia,6190.00,0.9,2009/10
Kenya,5384.00,0.8,2009/10
Pakistan,5222.00,0.8,2009/10
Venezuela,4958.00,0.7,2009/10
Russia,4827.00,0.7,2009/10
China,157558.00,21.8,2010/11
India,103895.00,14.4,2010/11
South Korea,73351.00,10.1,2010/11
Canada,27546.00,3.8,2010/11
Taiwan,24818.00,3.4,2010/11
Saudi Arabia,22704.00,3.1,2010/11
Japan,21290.00,2.9,2010/11
Vietnam,14888.00,2.1,2010/11
Mexico,13713.00,1.9,2010/11
Turkey,12184.00,1.7,2010/11
Nepal,10301.00,1.4,2010/11
Germany,9458.00,1.3,2010/11
United Kingdom,8947.00,1.2,2010/11
Brazil,8777.00,1.2,2010/11
Thailand,8236.00,1.1,2010/11
Hong Kong,8136.00,1.1,2010/11
France,8098.00,1.1,2010/11
Nigeria,7148.00,1.0,2010/11
Indonesia,6942.00,1.0,2010/11
Malaysia,6735.00,0.9,2010/11
Colombia,6456.00,0.9,2010/11
Iran,5626.00,0.8,2010/11
Venezuela,5491.00,0.8,2010/11
Pakistan,5045.00,0.7,2010/11
Russia,4692.00,0.6,2010/11
China,194029.00,25.4,2011/12
India,100270.00,13.1,2011/12
South Korea,72295.00,9.5,2011/12
Saudi Arabia,34139.00,4.5,2011/12
Canada,26821.00,3.5,2011/12
Taiwan,23250.00,3.0,2011/12
Japan,19966.00,2.6,2011/12
Vietnam,15572.00,2.0,2011/12
Mexico,13893.00,1.8,2011/12
Turkey,11973.00,1.6,2011/12
Nepal,9621.00,1.3,2011/12
Germany,9347.00,1.2,2011/12
United Kingdom,9186.00,1.2,2011/12
Brazil,9029.00,1.2,2011/12
France,8232.00,1.1,2011/12
Hong Kong,8032.00,1.1,2011/12
Thailand,7626.00,1.0,2011/12
Indonesia,7131.00,0.9,2011/12
Nigeria,7028.00,0.9,2011/12
Iran,6982.00,0.9,2011/12
Malaysia,6743.00,0.9,2011/12
Colombia,6295.00,0.8,2011/12
Venezuela,6281.00,0.8,2011/12
Spain,4924.00,0.6,2011/12
Russia,4805.00,0.6,2011/12
China,235597.00,28.7,2012/13
India,96754.00,11.8,2012/13
South Korea,70627.00,8.6,2012/13
Saudi Arabia,44566.00,5.4,2012/13
Canada,27357.00,3.3,2012/13
Taiwan,21867.00,2.7,2012/13
Japan,19568.00,2.4,2012/13
Vietnam,16098.00,2.0,2012/13
Mexico,14199.00,1.7,2012/13
Turkey,11278.00,1.4,2012/13
Brazil,10868.00,1.3,2012/13
Germany,9819.00,1.2,2012/13
United Kingdom,9467.00,1.2,2012/13
Nepal,8920.00,1.1,2012/13
Iran,8744.00,1.1,2012/13
France,8297.00,1.0,2012/13
Hong Kong,8026.00,1.0,2012/13
Indonesia,7670.00,0.9,2012/13
Nigeria,7316.00,0.9,2012/13
Thailand,7314.00,0.9,2012/13
Malaysia,6791.00,0.8,2012/13
Colombia,6543.00,0.8,2012/13
Venezuela,6158.00,0.8,2012/13
Kuwait,5115.00,0.6,2012/13
Spain,5033.00,0.6,2012/13
China,274439.00,31.0,2013/14
India,102673.00,11.6,2013/14
South Korea,68047.00,7.7,2013/14
Saudi Arabia,53919.00,6.1,2013/14
Canada,28304.00,3.2,2013/14
Taiwan,21266.00,2.4,2013/14
Japan,19334.00,2.2,2013/14
Vietnam,16579.00,1.9,2013/14
Mexico,14779.00,1.7,2013/14
Brazil,13286.00,1.5,2013/14
Turkey,10821.00,1.2,2013/14
Iran,10194.00,1.2,2013/14
United Kingdom,10191.00,1.2,2013/14
Germany,10160.00,1.1,2013/14
France,8302.00,0.9,2013/14
Nepal,8155.00,0.9,2013/14
Hong Kong,8104.00,0.9,2013/14
Nigeria,7921.00,0.9,2013/14
