Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
1,University of Oxford,https://www.timeshighereducation.com/world-university-rankings/university-oxford,United Kingdom,20774,11.1,0.41,46 : 54,2021
2,Stanford University,https://www.timeshighereducation.com/world-university-rankings/stanford-university,United States,16223,7.4,0.23,44 : 56,2021
3,Harvard University,https://www.timeshighereducation.com/world-university-rankings/harvard-university,United States,21261,9.3,0.25,49 : 51,2021
4,California Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology,United States,2238,6.3,0.33,36 : 64,2021
5,Massachusetts Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,United States,11276,8.4,0.34,39 : 61,2021
6,University of Cambridge,https://www.timeshighereducation.com/world-university-rankings/university-cambridge,United Kingdom,19370,11,0.38,47 : 53,2021
7,"University of California, Berkeley",https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley,United States,39918,19.8,0.17,51 : 49,2021
8,Yale University,https://www.timeshighereducation.com/world-university-rankings/yale-university,United States,12910,6,0.2,50 : 50,2021
9,Princeton University,https://www.timeshighereducation.com/world-university-rankings/princeton-university,United States,8091,8,0.23,46 : 54,2021
10,The University of Chicago,https://www.timeshighereducation.com/world-university-rankings/university-chicago,United States,14292,5.9,0.31,46 : 54,2021
11,Imperial College London,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london,United Kingdom,17176,11.6,0.58,39 : 61,2021
12,Johns Hopkins University,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,United States,16432,4.4,0.27,52 : 48,2021
13,University of Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania,United States,20771,6.4,0.21,52 : 48,2021
14,ETH Zurich,https://www.timeshighereducation.com/world-university-rankings/eth-zurich,Switzerland,19632,13.1,0.4,32 : 68,2021
15,"University of California, Los Angeles",https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles,United States,41673,10,0.17,55 : 45,2021
16,UCL,https://www.timeshighereducation.com/world-university-rankings/ucl,United Kingdom,34590,10.8,0.55,57 : 43,2021
17,Columbia University,https://www.timeshighereducation.com/world-university-rankings/columbia-university,United States,27384,5.7,0.39,n/a,2021
18,University of Toronto,https://www.timeshighereducation.com/world-university-rankings/university-toronto,Canada,74502,20,0.22,59 : 41,2021
19,Cornell University,https://www.timeshighereducation.com/world-university-rankings/cornell-university,United States,23016,10.2,0.25,50 : 50,2021
20,Duke University,https://www.timeshighereducation.com/world-university-rankings/duke-university,United States,15489,4.3,0.21,49 : 51,2021
20,Tsinghua University,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university,China,37484,11.6,0.13,34 : 66,2021
22,University of Michigan-Ann Arbor,https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor,United States,43873,8.3,0.17,50 : 50,2021
23,Peking University,https://www.timeshighereducation.com/world-university-rankings/peking-university,China,38583,11.1,0.16,43 : 57,2021
24,Northwestern University,https://www.timeshighereducation.com/world-university-rankings/northwestern-university,United States,18529,13,0.19,49 : 51,2021
25,National University of Singapore,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore,Singapore,30943,18,0.26,50 : 50,2021
26,New York University,https://www.timeshighereducation.com/world-university-rankings/new-york-university,United States,44474,8.8,0.34,57 : 43,2021
27,London School of Economics and Political Science,https://www.timeshighereducation.com/world-university-rankings/london-school-economics-and-political-science,United Kingdom,10660,12,0.72,54 : 46,2021
28,Carnegie Mellon University,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university,United States,14058,13.7,0.48,43 : 57,2021
29,University of Washington,https://www.timeshighereducation.com/world-university-rankings/university-washington,United States,46258,10.7,0.17,53 : 47,2021
30,University of Edinburgh,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh,United Kingdom,30649,12.1,0.42,60 : 40,2021
31,University of Melbourne,https://www.timeshighereducation.com/world-university-rankings/university-melbourne,Australia,50094,27,0.48,57 : 43,2021
32,LMU Munich,https://www.timeshighereducation.com/world-university-rankings/lmu-munich,Germany,34249,33.6,0.17,61 : 39,2021
33,"University of California, San Diego",https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego,United States,34232,12,0.3,47 : 53,2021
34,University of British Columbia,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,Canada,53123,18.7,0.32,55 : 45,2021
35,King’s College London,https://www.timeshighereducation.com/world-university-rankings/kings-college-london,United Kingdom,27400,12.4,0.46,62 : 38,2021
36,Karolinska Institute,https://www.timeshighereducation.com/world-university-rankings/karolinska-institute,Sweden,7696,8.8,0.26,68 : 32,2021
36,The University of Tokyo,https://www.timeshighereducation.com/world-university-rankings/university-tokyo,Japan,25935,10.6,0.13,n/a,2021
38,Georgia Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology,United States,26043,23.6,0.27,33 : 67,2021
39,University of Hong Kong,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,Hong Kong,18135,18.2,0.43,54 : 46,2021
40,McGill University,https://www.timeshighereducation.com/world-university-rankings/mcgill-university,Canada,31578,12.8,0.31,59 : 41,2021
41,Technical University of Munich,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich,Germany,32377,39.8,0.31,36 : 64,2021
42,Heidelberg University,https://www.timeshighereducation.com/world-university-rankings/heidelberg-university-0,Germany,20020,14.5,0.18,54 : 46,2021
43,École Polytechnique Fédéralede Lausanne,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne,Switzerland,10942,12.2,0.6,29 : 71,2021
44,University of Texasat Austin,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin,United States,49510,16.9,0.1,52 : 48,2021
45,KU Leuven,https://www.timeshighereducation.com/world-university-rankings/ku-leuven,Belgium,45617,36.1,0.15,50 : 50,2021
46,Paris Scienceset Lettres– PSL Research University Paris,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,France,20701,14.7,0.24,46 : 54,2021
47,"Nanyang Technological University, Singapore",https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore,Singapore,23902,14.8,0.25,48 : 52,2021
48,University of Illinois at Urbana-Champaign,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign,United States,45980,17.8,0.24,48 : 52,2021
49,University of Wisconsin-Madison,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison,United States,39451,9.8,0.13,n/a,2021
50,Washington Universityin St Louis,https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis,United States,13693,7.5,0.21,n/a,2021
51,University of Manchester,https://www.timeshighereducation.com/world-university-rankings/university-manchester,United Kingdom,36557,14.4,0.41,53 : 47,2021
51,University of Sydney,https://www.timeshighereducation.com/world-university-rankings/university-sydney,Australia,46453,19.4,0.43,58 : 42,2021
